Day,Local Time,Dir,Speed/Gust (km/h),Temp/Feels Like,Humidity,Pressure (mb),Cloud Amount,Precip Amount,Weather
Mon 07Oct,07:00, S,10 / 16,11 / 10°C,64% ,1017,Low level cloud: 54% Mid level cloud: 86% High level cloud: 100% Most Significant Cloud Type: low96% ,Expect 0.1 of precipitation over the past 3 hours.0.1,Overcast skies
,10:00, SSW,23 / 36,13 / 12°C,57% ,1015,Low level cloud: 52% Mid level cloud: 100% High level cloud: 80% Most Significant Cloud Type: low96% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Overcast skies
,13:00, SSW,22 / 35,14 / 13°C,71% ,1013,Low level cloud: 83% Mid level cloud: 77% High level cloud: 2% Most Significant Cloud Type: low100% ,Expect 0.2 of precipitation over the past 3 hours.0.2,Light drizzle
,16:00, SSW,22 / 25,15 / 14°C,87% ,1011,Low level cloud: 95% Mid level cloud: 60% High level cloud: 100% Most Significant Cloud Type: low100% ,Expect 0.7 of precipitation over the past 3 hours.0.7,Light drizzle
,19:00, SW,22 / 53,13 / 11°C,84% ,1010,Low level cloud: 20% Mid level cloud: 84% High level cloud: 100% Most Significant Cloud Type: medium100% ,Expect 0.3 of precipitation over the past 3 hours.0.3,Light drizzle
,22:00, SW,6 / 68,12 / 8°C,83% ,1010,Low level cloud: 7% Mid level cloud: 25% High level cloud: 5% Most Significant Cloud Type: medium43% ,Expect 0.2 of precipitation over the past 3 hours.0.2,Patchy rain possible
Tue 08Oct,01:00, ESE,12 / 39,11 / 7°C,69% ,1011,Low level cloud: 0% Mid level cloud: 2% High level cloud: 1% Most Significant Cloud Type: medium2% ,Expect 0.1 of precipitation over the past 3 hours.0.1,Clear skies
,04:00, SE,11 / 32,9 / 6°C,68% ,1013,Low level cloud: 38% Mid level cloud: 42% High level cloud: 0% Most Significant Cloud Type: low52% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Partly cloudy skies
,07:00, SSW,9 / 24,8 / 5°C,78% ,1014,Low level cloud: 1% Mid level cloud: 25% High level cloud: 0% Most Significant Cloud Type: medium27% ,Expect 0.4 of precipitation over the past 3 hours.0.4,Patchy rain possible
,10:00, SW,12 / 31,10 / 7°C,56% ,1014,Low level cloud: 7% Mid level cloud: 44% High level cloud: 0% Most Significant Cloud Type: medium63% ,Expect 0.6 of precipitation over the past 3 hours.0.6,Light rain shower
,13:00, NNE,5 / 22,11 / 9°C,53% ,1014,Low level cloud: 19% Mid level cloud: 49% High level cloud: 0% Most Significant Cloud Type: low36% ,Expect 1.9 of precipitation over the past 3 hours.1.9,Patchy rain possible
,16:00, N,8 / 24,11 / 8°C,62% ,1015,Low level cloud: 4% Mid level cloud: 19% High level cloud: 0% Most Significant Cloud Type: medium29% ,Expect 1.2 of precipitation over the past 3 hours.1.2,Patchy rain possible
,19:00, N,6 / 18,9 / 7°C,74% ,1018,Low level cloud: 13% Mid level cloud: 24% High level cloud: 0% Most Significant Cloud Type: low21% ,Expect 0.6 of precipitation over the past 3 hours.0.6,Patchy rain possible
,22:00, WSW,3 / 15,8 / 6°C,78% ,1021,Low level cloud: 0% Mid level cloud: 3% High level cloud: 0% Most Significant Cloud Type: medium2% ,Expect 0.1 of precipitation over the past 3 hours.0.1,Clear skies
Wed 09Oct,01:00, WSW,4 / 13,7 / 5°C,79% ,1024,Low level cloud: 0% Mid level cloud: 0% High level cloud: 0% Most Significant Cloud Type: high0% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Clear skies
,04:00, N,5 / 14,6 / 4°C,77% ,1027,Low level cloud: 0% Mid level cloud: 0% High level cloud: 0% Most Significant Cloud Type: high0% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Clear skies
,07:00, N,8 / 18,5 / 2°C,71% ,1029,Low level cloud: 0% Mid level cloud: 0% High level cloud: 0% Most Significant Cloud Type: high0% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Sunny skies
,10:00, N,9 / 15,9 / 7°C,56% ,1029,Low level cloud: 0% Mid level cloud: 0% High level cloud: 0% Most Significant Cloud Type: high0% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Sunny skies
,13:00, N,9 / 11,12 / 11°C,39% ,1029,Low level cloud: 0% Mid level cloud: 0% High level cloud: 0% Most Significant Cloud Type: high0% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Sunny skies
,16:00, N,10 / 17,13 / 11°C,38% ,1028,Low level cloud: 0% Mid level cloud: 0% High level cloud: 0% Most Significant Cloud Type: high0% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Sunny skies
,19:00, N,9 / 10,11 / 10°C,51% ,1030,Low level cloud: 0% Mid level cloud: 0% High level cloud: 0% Most Significant Cloud Type: high0% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Clear skies
,22:00, NNE,4 / 11,8 / 6°C,56% ,1031,Low level cloud: 0% Mid level cloud: 1% High level cloud: 1% Most Significant Cloud Type: high1% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Clear skies
Thu 10Oct,01:00, NE,3 / 4,6 / 6°C,63% ,1031,Low level cloud: 0% Mid level cloud: 6% High level cloud: 3% Most Significant Cloud Type: medium5% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Clear skies
,04:00, NNE,3 / 5,4 / 5°C,66% ,1031,Low level cloud: 0% Mid level cloud: 3% High level cloud: 0% Most Significant Cloud Type: medium3% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Clear skies
,07:00, NNE,4 / 6,4 / 4°C,63% ,1030,Low level cloud: 0% Mid level cloud: 3% High level cloud: 0% Most Significant Cloud Type: medium2% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Sunny skies
,10:00, N,6 / 8,10 / 9°C,39% ,1028,Low level cloud: 0% Mid level cloud: 4% High level cloud: 0% Most Significant Cloud Type: medium3% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Sunny skies
,13:00, N,9 / 10,14 / 14°C,28% ,1026,Low level cloud: 0% Mid level cloud: 2% High level cloud: 0% Most Significant Cloud Type: medium1% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Sunny skies
,16:00, N,14 / 16,15 / 13°C,36% ,1024,Low level cloud: 0% Mid level cloud: 4% High level cloud: 0% Most Significant Cloud Type: medium3% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Sunny skies
,19:00, NNE,11 / 15,9 / 8°C,55% ,1024,Low level cloud: 0% Mid level cloud: 0% High level cloud: 15% Most Significant Cloud Type: high14% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Clear skies
,22:00, NNE,7 / 8,9 / 8°C,60% ,1024,Low level cloud: 0% Mid level cloud: 0% High level cloud: 5% Most Significant Cloud Type: high5% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Clear skies
Fri 11Oct,01:00, NE,6 / 9,6 / 5°C,55% ,1022,Low level cloud: 0% Mid level cloud: 0% High level cloud: 100% Most Significant Cloud Type: high99% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Overcast skies
,04:00, NE,4 / 6,6 / 5°C,48% ,1021,Low level cloud: 0% Mid level cloud: 0% High level cloud: 100% Most Significant Cloud Type: high99% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Overcast skies
,07:00, NE,3 / 5,6 / 6°C,46% ,1020,Low level cloud: 0% Mid level cloud: 13% High level cloud: 100% Most Significant Cloud Type: medium17% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Sunny skies
,10:00, NNE,1 / 2,12 / 12°C,29% ,1018,Low level cloud: 0% Mid level cloud: 0% High level cloud: 32% Most Significant Cloud Type: high31% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Partly cloudy skies
,13:00, WSW,3 / 4,18 / 18°C,21% ,1017,Low level cloud: 0% Mid level cloud: 0% High level cloud: 4% Most Significant Cloud Type: high4% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Sunny skies
,16:00, SW,4 / 5,18 / 18°C,27% ,1016,Low level cloud: 0% Mid level cloud: 8% High level cloud: 13% Most Significant Cloud Type: medium8% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Sunny skies
,19:00, SE,5 / 8,13 / 13°C,38% ,1016,Low level cloud: 0% Mid level cloud: 39% High level cloud: 100% Most Significant Cloud Type: medium42% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Partly cloudy skies
,22:00, ESE,4 / 5,13 / 13°C,38% ,1017,Low level cloud: 0% Mid level cloud: 46% High level cloud: 73% Most Significant Cloud Type: medium49% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Partly cloudy skies
Sat 12Oct,01:00, SE,4 / 8,10 / 10°C,40% ,1015,Low level cloud: 0% Mid level cloud: 31% High level cloud: 78% Most Significant Cloud Type: medium34% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Partly cloudy skies
,04:00, SE,4 / 7,9 / 9°C,42% ,1015,Low level cloud: 0% Mid level cloud: 68% High level cloud: 100% Most Significant Cloud Type: medium71% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Cloudy skies
,07:00, SSE,2 / 5,9 / 9°C,42% ,1015,Low level cloud: 0% Mid level cloud: 83% High level cloud: 91% Most Significant Cloud Type: medium86% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Cloudy skies
,10:00, SSE,3 / 4,10 / 10°C,55% ,1015,Low level cloud: 0% Mid level cloud: 90% High level cloud: 100% Most Significant Cloud Type: medium93% ,Expect 0.1 of precipitation over the past 3 hours.0.1,Overcast skies
,13:00, N,3 / 3,11 / 11°C,58% ,1016,Low level cloud: 49% Mid level cloud: 93% High level cloud: 2% Most Significant Cloud Type: low82% ,Expect 0.1 of precipitation over the past 3 hours.0.1,Cloudy skies
,16:00, NNE,1 / 1,11 / 11°C,58% ,1015,Low level cloud: 96% Mid level cloud: 62% High level cloud: 0% Most Significant Cloud Type: low100% ,Expect 0.1 of precipitation over the past 3 hours.0.1,Overcast skies
,19:00, SE,3 / 3,11 / 11°C,68% ,1015,Low level cloud: 93% Mid level cloud: 85% High level cloud: 0% Most Significant Cloud Type: low100% ,Expect 0.4 of precipitation over the past 3 hours.0.4,Light drizzle
,22:00, SE,2 / 3,11 / 11°C,79% ,1016,Low level cloud: 96% Mid level cloud: 89% High level cloud: 8% Most Significant Cloud Type: low100% ,Expect 0.5 of precipitation over the past 3 hours.0.5,Light drizzle
Sun 13Oct,01:00, SSW,1 / 1,9 / 9°C,85% ,1015,Low level cloud: 93% Mid level cloud: 60% High level cloud: 100% Most Significant Cloud Type: low100% ,Expect 0.4 of precipitation over the past 3 hours.0.4,Light drizzle
,04:00, S,1 / 2,8 / 9°C,91% ,1015,Low level cloud: 95% Mid level cloud: 81% High level cloud: 18% Most Significant Cloud Type: low100% ,Expect 1.6 of precipitation over the past 3 hours.1.6,Light rain
,07:00, SSW,4 / 5,9 / 9°C,91% ,1016,Low level cloud: 94% Mid level cloud: 57% High level cloud: 0% Most Significant Cloud Type: low100% ,Expect 0.6 of precipitation over the past 3 hours.0.6,Light drizzle
,10:00, SSW,5 / 6,10 / 10°C,82% ,1016,Low level cloud: 95% Mid level cloud: 45% High level cloud: 0% Most Significant Cloud Type: low100% ,Expect 0.1 of precipitation over the past 3 hours.0.1,Overcast skies
,13:00, SSW,6 / 7,13 / 13°C,71% ,1016,Low level cloud: 89% Mid level cloud: 28% High level cloud: 12% Most Significant Cloud Type: low99% ,Expect 0.1 of precipitation over the past 3 hours.0.1,Overcast skies
,16:00, SSW,3 / 4,13 / 13°C,69% ,1016,Low level cloud: 72% Mid level cloud: 25% High level cloud: 36% Most Significant Cloud Type: low85% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Cloudy skies
