title,date,label
Hurricane Dorian: Trump flies to golf club as likelihood of direct hit recedes,9/1/2019,mild
Hurricane Dorian: where will the storm hit and what damage will it bring?,9/1/2019,moderate
A chilling truth: our addiction to air conditioning must end,9/1/2019,moderate
Hurricane Dorian strengthens to category 4 as Florida braces for landfall,9/1/2019,severe
Floridians not fazed as Hurricane Dorian’s path keeps state guessing,9/1/2019,mild
Hurricane Dorian: millions evacuated from coastal US as category 5 storm hits Bahamas,9/2/2019,severe
Hurricane Dorian lashes Bahamas with ferocious winds and flash flooding - video,9/2/2019,severe
"Hurricane Dorian: 'We're at the frontline of climate change but we don't cause it', says Barbados PM – as it happened",9/5/2019,moderate
Sharpiegate': Trump insists Dorian was forecast to 'hit or graze' Alabama,9/5/2019,moderate
'Everything is destroyed': 30 dead in Bahamas as Dorian lashes North Carolina,9/6/2019,severe
"Hurricane Dorian: 70,000 in 'immediate need of lifesaving' help in Bahamas – as it happened",9/6/2019,severe
'Sharpiegate': meteorologists upset as weather agency defends Trump's Alabama claim,9/7/2019,moderate
Top weather official who defended 'Sharpiegate' makes tearful clarification,9/10/2019,moderate
Weatherwatch: why slow-motion natural disasters don't make the news,9/16/2019,moderate
Major snow dump in western states brings taste of winter to September,9/30/2019,moderate
Weatherwatch: the popularity of the old-fashioned forecaster,10/4/2019,moderate
"Weatherwatch: Greek storms, US heatwave and Hurricane Lorenzo",10/9/2019,severe
Governor says California could take over PG&E after wildfires linked to utility,11/2/2019,moderate
Air from Siberia to send temperatures plunging from Texas to New England,11/9/2019,mild
Arctic blast grips eastern US as cities reach record low temperatures,11/13/2019,severe
Millions set for Thanksgiving disruption as storms sweep across US,11/26/2019,severe
Bomb cyclone' storm expected to upend Thanksgiving travel,11/27/2019,severe
Thanksgiving weather: storms now threaten post-holiday travel,11/28/2019,severe
Parts of US brace for heavy snow as storm system to bring 'weather hazards',11/29/2019,severe
Powerful storm threatens travel for millions heading home after Thanksgiving,11/30/2019,severe
Deadly storm disrupting Thanksgiving travel across US hits north-east,12/1/2019,severe
"Thanksgiving storm brings snow, sleet and wind to most of the US",12/2/2019,severe
New England: travel havoc and school closures as winter storm persists,12/3/2019,severe
Weatherwatch: winter storms and strong winds sweep US,12/4/2019,severe
