Day,Local Time,Dir,Speed/Gust (km/h),Temp/Feels Like,Humidity,Pressure (mb),Cloud Amount,Precip Amount,Weather
Sat 14Dec,01:00, SSE,5 / 7,6 / 5°C,95% ,1016,Low level cloud: 88% Mid level cloud: 95% High level cloud: 36% Most Significant Cloud Type: low100% ,Expect 0.5 of precipitation over the past 3 hours.0.5,Light rain shower
,04:00, S,4 / 6,6 / 5°C,90% ,1016,Low level cloud: 94% Mid level cloud: 44% High level cloud: 68% Most Significant Cloud Type: low100% ,Expect 0.2 of precipitation over the past 3 hours.0.2,Light rain shower
,07:00, S,6 / 6,6 / 5°C,92% ,1016,Low level cloud: 87% Mid level cloud: 86% High level cloud: 0% Most Significant Cloud Type: low100% ,Expect 0.3 of precipitation over the past 3 hours.0.3,Light rain shower
,10:00, S,7 / 9,7 / 5°C,87% ,1016,Low level cloud: 85% Mid level cloud: 46% High level cloud: 1% Most Significant Cloud Type: low100% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Overcast skies
,13:00, SSE,7 / 9,8 / 7°C,82% ,1016,Low level cloud: 76% Mid level cloud: 58% High level cloud: 5% Most Significant Cloud Type: low96% ,Expect 0.1 of precipitation over the past 3 hours.0.1,Overcast skies
,16:00, SE,3 / 4,8 / 8°C,88% ,1016,Low level cloud: 60% Mid level cloud: 32% High level cloud: 20% Most Significant Cloud Type: low73% ,Expect 0.1 of precipitation over the past 3 hours.0.1,Cloudy skies
,19:00, S,3 / 5,7 / 7°C,88% ,1016,Low level cloud: 83% Mid level cloud: 46% High level cloud: 3% Most Significant Cloud Type: low99% ,Expect 0.1 of precipitation over the past 3 hours.0.1,Overcast skies
,22:00, SSW,4 / 8,6 / 5°C,91% ,1017,Low level cloud: 98% Mid level cloud: 46% High level cloud: 0% Most Significant Cloud Type: low100% ,Expect 0.1 of precipitation over the past 3 hours.0.1,Overcast skies
Sun 15Dec,19:00, SE,3 / 9,6 / 5°C,83% ,1023,Low level cloud: 82% Mid level cloud: 8% High level cloud: 4% Most Significant Cloud Type: low85% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Cloudy skies
,22:00, ESE,3 / 13,6 / 4°C,77% ,1025,Low level cloud: 98% Mid level cloud: 4% High level cloud: 6% Most Significant Cloud Type: low99% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Overcast skies
Mon 16Dec,01:00, S,3 / 10,5 / 3°C,80% ,1026,Low level cloud: 6% Mid level cloud: 43% High level cloud: 15% Most Significant Cloud Type: medium60% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Partly cloudy skies
,04:00, SE,3 / 9,4 / 3°C,79% ,1026,Low level cloud: 0% Mid level cloud: 30% High level cloud: 32% Most Significant Cloud Type: medium31% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Partly cloudy skies
,07:00, SE,3 / 13,4 / 2°C,74% ,1026,Low level cloud: 100% Mid level cloud: 29% High level cloud: 12% Most Significant Cloud Type: low100% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Overcast skies
,10:00, SE,2 / 10,6 / 4°C,67% ,1026,Low level cloud: 82% Mid level cloud: 50% High level cloud: 13% Most Significant Cloud Type: low100% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Overcast skies
,13:00, NNW,1 / 1,8 / 8°C,61% ,1025,Low level cloud: 95% Mid level cloud: 44% High level cloud: 99% Most Significant Cloud Type: low100% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Overcast skies
,16:00, NW,2 / 7,8 / 7°C,71% ,1025,Low level cloud: 73% Mid level cloud: 47% High level cloud: 14% Most Significant Cloud Type: low91% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Overcast skies
,19:00, NE,1 / 1,6 / 6°C,79% ,1025,Low level cloud: 3% Mid level cloud: 19% High level cloud: 16% Most Significant Cloud Type: medium28% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Partly cloudy skies
,22:00, ESE,3 / 13,7 / 5°C,82% ,1024,Low level cloud: 0% Mid level cloud: 14% High level cloud: 80% Most Significant Cloud Type: medium16% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Clear skies
Tue 17Dec,01:00, E,3 / 4,6 / 6°C,80% ,1024,Low level cloud: 0% Mid level cloud: 13% High level cloud: 33% Most Significant Cloud Type: medium14% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Clear skies
,04:00, ENE,2 / 3,6 / 6°C,76% ,1022,Low level cloud: 0% Mid level cloud: 8% High level cloud: 100% Most Significant Cloud Type: medium12% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Clear skies
,07:00, ESE,4 / 6,4 / 4°C,73% ,1020,Low level cloud: 0% Mid level cloud: 45% High level cloud: 100% Most Significant Cloud Type: medium48% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Partly cloudy skies
,10:00, SE,3 / 4,6 / 6°C,66% ,1019,Low level cloud: 0% Mid level cloud: 100% High level cloud: 100% Most Significant Cloud Type: medium100% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Overcast skies
,13:00, ENE,5 / 6,7 / 7°C,58% ,1017,Low level cloud: 0% Mid level cloud: 98% High level cloud: 100% Most Significant Cloud Type: medium100% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Overcast skies
,16:00, ENE,11 / 13,9 / 7°C,59% ,1015,Low level cloud: 0% Mid level cloud: 100% High level cloud: 21% Most Significant Cloud Type: medium100% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Overcast skies
,19:00, SSW,1 / 2,6 / 6°C,66% ,1013,Low level cloud: 0% Mid level cloud: 98% High level cloud: 100% Most Significant Cloud Type: medium100% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Overcast skies
,22:00, ESE,4 / 5,6 / 6°C,61% ,1012,Low level cloud: 0% Mid level cloud: 100% High level cloud: 100% Most Significant Cloud Type: medium100% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Overcast skies
Wed 18Dec,01:00, E,5 / 8,6 / 5°C,61% ,1011,Low level cloud: 0% Mid level cloud: 100% High level cloud: 100% Most Significant Cloud Type: medium100% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Overcast skies
,04:00, SSE,4 / 4,6 / 6°C,62% ,1008,Low level cloud: 0% Mid level cloud: 99% High level cloud: 98% Most Significant Cloud Type: medium100% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Overcast skies
,07:00, ESE,6 / 7,5 / 4°C,65% ,1005,Low level cloud: 84% Mid level cloud: 86% High level cloud: 100% Most Significant Cloud Type: low100% ,Expect 0.5 of precipitation over the past 3 hours.0.5,Light drizzle
,10:00, SSE,16 / 22,6 / 3°C,82% ,1006,Low level cloud: 98% Mid level cloud: 100% High level cloud: 33% Most Significant Cloud Type: low100% ,Expect 2.6 of precipitation over the past 3 hours.2.6,Moderate rain
,13:00, S,20 / 27,9 / 6°C,72% ,1007,Low level cloud: 91% Mid level cloud: 72% High level cloud: 1% Most Significant Cloud Type: low100% ,Expect 1.3 of precipitation over the past 3 hours.1.3,Light rain
,16:00, S,18 / 21,9 / 6°C,86% ,1005,Low level cloud: 95% Mid level cloud: 57% High level cloud: 32% Most Significant Cloud Type: low100% ,Expect 2.8 of precipitation over the past 3 hours.2.8,Moderate rain
,19:00, S,18 / 27,6 / 3°C,88% ,1005,Low level cloud: 93% Mid level cloud: 60% High level cloud: 9% Most Significant Cloud Type: low100% ,Expect 6.6 of precipitation over the past 3 hours.6.6,Moderate rain
,22:00, S,17 / 20,8 / 6°C,84% ,1006,Low level cloud: 95% Mid level cloud: 68% High level cloud: 41% Most Significant Cloud Type: low100% ,Expect 1.6 of precipitation over the past 3 hours.1.6,Light rain
Thu 19Dec,01:00, S,11 / 15,7 / 5°C,88% ,1006,Low level cloud: 58% Mid level cloud: 24% High level cloud: 0% Most Significant Cloud Type: low66% ,Expect 0.3 of precipitation over the past 3 hours.0.3,Light rain shower
,04:00, S,8 / 11,7 / 5°C,92% ,1007,Low level cloud: 48% Mid level cloud: 43% High level cloud: 0% Most Significant Cloud Type: low63% ,Expect 0.2 of precipitation over the past 3 hours.0.2,Light rain shower
,07:00, S,9 / 14,6 / 4°C,90% ,1008,Low level cloud: 33% Mid level cloud: 30% High level cloud: 0% Most Significant Cloud Type: low43% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Partly cloudy skies
