Day,Local Time,Dir,Speed/Gust (km/h),Temp/Feels Like,Humidity,Pressure (mb),Cloud Amount,Precip Amount,Weather
Sat 26Oct,01:00, SSW,5 / 17,8 / 6°C,86% ,1025,Low level cloud: 73% Mid level cloud: 8% High level cloud: 0% Most Significant Cloud Type: low75% ,Expect 0.2 of precipitation over the past 3 hours.0.2,Light rain shower
,04:00, SSE,1 / 10,8 / 7°C,86% ,1025,Low level cloud: 82% Mid level cloud: 7% High level cloud: 0% Most Significant Cloud Type: low85% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Cloudy skies
,07:00, NNE,3 / 12,8 / 7°C,88% ,1026,Low level cloud: 43% Mid level cloud: 27% High level cloud: 0% Most Significant Cloud Type: low52% ,Expect 0.2 of precipitation over the past 3 hours.0.2,Light rain shower
,10:00, N,14 / 17,9 / 7°C,71% ,1026,Low level cloud: 87% Mid level cloud: 5% High level cloud: 0% Most Significant Cloud Type: low89% ,Expect 0.1 of precipitation over the past 3 hours.0.1,Overcast skies
,13:00, N,19 / 31,12 / 9°C,64% ,1027,Low level cloud: 24% Mid level cloud: 5% High level cloud: 0% Most Significant Cloud Type: low25% ,Expect 0.3 of precipitation over the past 3 hours.0.3,Patchy rain possible
,16:00, N,17 / 36,12 / 9°C,57% ,1028,Low level cloud: 0% Mid level cloud: 2% High level cloud: 0% Most Significant Cloud Type: medium2% ,Expect 0.1 of precipitation over the past 3 hours.0.1,Sunny skies
,19:00, NNE,10 / 25,9 / 7°C,64% ,1031,Low level cloud: 0% Mid level cloud: 0% High level cloud: 0% Most Significant Cloud Type: high0% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Clear skies
,22:00, NNE,9 / 19,8 / 6°C,74% ,1032,Low level cloud: 0% Mid level cloud: 0% High level cloud: 4% Most Significant Cloud Type: high3% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Clear skies
Sun 27Oct,19:00, NNE,4 / 23,9 / 7°C,58% ,1028,Low level cloud: 0% Mid level cloud: 5% High level cloud: 17% Most Significant Cloud Type: medium5% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Clear skies
,22:00, ENE,2 / 21,8 / 5°C,64% ,1027,Low level cloud: 0% Mid level cloud: 9% High level cloud: 3% Most Significant Cloud Type: medium8% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Clear skies
Mon 28Oct,01:00, NE,2 / 18,7 / 4°C,65% ,1026,Low level cloud: 0% Mid level cloud: 7% High level cloud: 16% Most Significant Cloud Type: medium7% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Clear skies
,04:00, NNE,1 / 12,6 / 4°C,66% ,1024,Low level cloud: 0% Mid level cloud: 5% High level cloud: 18% Most Significant Cloud Type: medium6% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Clear skies
,07:00, N,1 / 13,6 / 3°C,67% ,1023,Low level cloud: 0% Mid level cloud: 15% High level cloud: 32% Most Significant Cloud Type: medium16% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Sunny skies
,10:00, N,4 / 9,9 / 8°C,49% ,1022,Low level cloud: 0% Mid level cloud: 10% High level cloud: 1% Most Significant Cloud Type: medium9% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Sunny skies
,13:00, N,8 / 11,12 / 11°C,39% ,1020,Low level cloud: 0% Mid level cloud: 3% High level cloud: 0% Most Significant Cloud Type: medium3% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Sunny skies
,16:00, N,9 / 9,12 / 11°C,46% ,1020,Low level cloud: 0% Mid level cloud: 0% High level cloud: 0% Most Significant Cloud Type: high0% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Sunny skies
,19:00, NNE,9 / 6,9 / 8°C,69% ,1023,Low level cloud: 0% Mid level cloud: 0% High level cloud: 0% Most Significant Cloud Type: high0% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Clear skies
,22:00, NNE,9 / 9,8 / 7°C,74% ,1027,Low level cloud: 0% Mid level cloud: 0% High level cloud: 0% Most Significant Cloud Type: high0% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Clear skies
Tue 29Oct,01:00, E,15 / 6,6 / 5°C,39% ,1031,Low level cloud: 0% Mid level cloud: 0% High level cloud: 0% Most Significant Cloud Type: high0% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Clear skies
,04:00, E,13 / 6,6 / 5°C,27% ,1033,Low level cloud: 0% Mid level cloud: 0% High level cloud: 0% Most Significant Cloud Type: high0% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Clear skies
,07:00, NNE,6 / 6,5 / 3°C,26% ,1034,Low level cloud: 0% Mid level cloud: 0% High level cloud: 0% Most Significant Cloud Type: high0% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Sunny skies
,10:00, ENE,8 / 11,8 / 6°C,13% ,1034,Low level cloud: 0% Mid level cloud: 2% High level cloud: 0% Most Significant Cloud Type: medium2% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Sunny skies
,13:00, ENE,7 / 15,11 / 9°C,11% ,1033,Low level cloud: 0% Mid level cloud: 2% High level cloud: 0% Most Significant Cloud Type: medium2% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Sunny skies
,16:00, NE,5 / 15,11 / 9°C,17% ,1031,Low level cloud: 0% Mid level cloud: 4% High level cloud: 0% Most Significant Cloud Type: medium3% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Sunny skies
,19:00, NE,5 / 13,7 / 5°C,26% ,1032,Low level cloud: 0% Mid level cloud: 4% High level cloud: 2% Most Significant Cloud Type: medium4% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Clear skies
,22:00, ENE,4 / 15,6 / 3°C,28% ,1032,Low level cloud: 0% Mid level cloud: 5% High level cloud: 2% Most Significant Cloud Type: medium4% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Clear skies
Wed 30Oct,01:00, NE,4 / 5,4 / 3°C,28% ,1031,Low level cloud: 0% Mid level cloud: 3% High level cloud: 0% Most Significant Cloud Type: medium2% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Clear skies
,04:00, NE,4 / 41,2 / -4°C,28% ,1030,Low level cloud: 0% Mid level cloud: 1% High level cloud: 0% Most Significant Cloud Type: medium1% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Clear skies
,07:00, NE,4 / 5,4 / 4°C,28% ,1029,Low level cloud: 0% Mid level cloud: 4% High level cloud: 5% Most Significant Cloud Type: medium4% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Sunny skies
,10:00, NNE,6 / 23,7 / 3°C,19% ,1028,Low level cloud: 0% Mid level cloud: 9% High level cloud: 0% Most Significant Cloud Type: medium8% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Sunny skies
,13:00, N,8 / 9,12 / 11°C,16% ,1026,Low level cloud: 0% Mid level cloud: 3% High level cloud: 0% Most Significant Cloud Type: medium2% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Sunny skies
,16:00, N,11 / 13,12 / 11°C,30% ,1025,Low level cloud: 0% Mid level cloud: 0% High level cloud: 0% Most Significant Cloud Type: high0% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Sunny skies
,19:00, NNE,8 / 11,6 / 5°C,49% ,1026,Low level cloud: 0% Mid level cloud: 0% High level cloud: 48% Most Significant Cloud Type: high47% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Partly cloudy skies
,22:00, NE,4 / 5,6 / 6°C,50% ,1027,Low level cloud: 0% Mid level cloud: 3% High level cloud: 0% Most Significant Cloud Type: medium3% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Clear skies
Thu 31Oct,01:00, ENE,2 / 3,5 / 5°C,44% ,1027,Low level cloud: 0% Mid level cloud: 0% High level cloud: 0% Most Significant Cloud Type: high0% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Clear skies
,04:00, ENE,2 / 3,2 / 2°C,41% ,1027,Low level cloud: 0% Mid level cloud: 0% High level cloud: 0% Most Significant Cloud Type: high0% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Clear skies
,07:00, NNE,1 / 2,5 / 5°C,39% ,1027,Low level cloud: 0% Mid level cloud: 3% High level cloud: 35% Most Significant Cloud Type: medium4% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Sunny skies
,10:00, NW,1 / 1,7 / 7°C,28% ,1027,Low level cloud: 0% Mid level cloud: 2% High level cloud: 59% Most Significant Cloud Type: medium4% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Sunny skies
,13:00, NNW,5 / 5,12 / 11°C,25% ,1026,Low level cloud: 0% Mid level cloud: 8% High level cloud: 93% Most Significant Cloud Type: medium12% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Sunny skies
,16:00, N,5 / 6,11 / 11°C,43% ,1026,Low level cloud: 0% Mid level cloud: 20% High level cloud: 95% Most Significant Cloud Type: medium23% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Sunny skies
,19:00, NNE,5 / 6,8 / 8°C,62% ,1027,Low level cloud: 0% Mid level cloud: 6% High level cloud: 6% Most Significant Cloud Type: medium5% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Clear skies
,22:00, NNE,4 / 4,7 / 7°C,65% ,1028,Low level cloud: 0% Mid level cloud: 3% High level cloud: 47% Most Significant Cloud Type: medium4% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Clear skies
Fri 01Nov,01:00, NNE,3 / 4,5 / 5°C,65% ,1028,Low level cloud: 0% Mid level cloud: 3% High level cloud: 0% Most Significant Cloud Type: medium3% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Clear skies
,04:00, ENE,3 / 5,3 / 3°C,66% ,1028,Low level cloud: 0% Mid level cloud: 0% High level cloud: 0% Most Significant Cloud Type: high0% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Clear skies
,07:00, NE,3 / 4,5 / 5°C,65% ,1029,Low level cloud: 0% Mid level cloud: 0% High level cloud: 0% Most Significant Cloud Type: high0% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Sunny skies
,10:00, NNE,6 / 8,8 / 7°C,44% ,1028,Low level cloud: 0% Mid level cloud: 0% High level cloud: 0% Most Significant Cloud Type: high0% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Sunny skies
,13:00, N,9 / 10,13 / 12°C,41% ,1028,Low level cloud: 0% Mid level cloud: 0% High level cloud: 0% Most Significant Cloud Type: high0% ,Expect 0.0 of precipitation over the past 3 hours.0.0,Sunny skies
